KIC Teff Teff_err logg logg_err feh feh_err NoCorM NoCorM_err NoCorR NoCorR_err RGBcorM RGBcorM_err RGBcorR RGBcorR_err ClcorM ClcorM_err ClcorR ClcorR_err Phase RA DEC
10878028 5243 161 3.223 0.010 -0.49 0.30 1.47 0.10  4.90 0.12 1.47 0.10  4.91 0.12 1.51 0.11  4.98  0.13 1 297.8882380236554 +48.2194745524617
10878084 4492  80 1.978 0.012 -0.38 0.15 1.35 0.13 19.72 0.72 1.17 0.11 18.39 0.66 1.31 0.12 19.41  0.71 1 297.9058987491747 +48.2483041695074
10878121 4617 161 2.026 0.011 -0.40 0.30 1.65 0.15 20.61 0.70 1.45 0.13 19.37 0.65 1.60 0.14 20.34  0.69 0 297.9159239191113 +48.2503712281156
10878693 5056 155 2.759 0.009 -0.36 0.30 1.62 0.11  8.79 0.21 1.54 0.10  8.58 0.21 1.67 0.11  8.92  0.21 1 298.1042081040431 +48.2119446629134
10878816 4977  80 2.378 0.020 -0.08 0.15 2.48 0.38 16.89 0.95 2.46 0.38 16.81 0.95 2.55 0.39 17.12  0.97 2 298.1390321983648 +48.2917217321907
10878851 4982 155 2.438 0.012  0.02 0.30 1.21 0.11 11.01 0.36 1.21 0.11 11.01 0.36 1.22 0.11 11.05  0.36 2 298.1474154968905 +48.2948109161783
10879372 4687 100 2.416 0.012  0.47 0.15 1.44 0.15 12.31 0.51 1.36 0.14 11.98 0.49 1.45 0.15 12.36  0.51 2 298.3029899432811 +48.2620462788941
10879440 4787  80 2.447 0.009  0.01 0.15 1.29 0.11 11.23 0.39 1.20 0.10 10.84 0.37 1.30 0.11 11.29  0.39 2 298.3227586872871 +48.2141473189879
10879742 4495  80 2.463 0.008  0.17 0.15 1.29 0.08 11.06 0.24 1.14 0.07 10.40 0.22 1.29 0.08 11.04  0.24 1 298.4271473479991 +48.2679121849872
10879853 4779  80 2.338 0.009 -0.04 0.15 0.82 0.06 10.19 0.32 0.81 0.06 10.12 0.32 0.84 0.07 10.26  0.32 2 298.4627976407903 +48.2408997524314
10880104 4957 158 2.647 0.012  0.18 0.30 1.76 0.15 10.44 0.31 1.71 0.15 10.30 0.31 1.80 0.15 10.56  0.32 1 298.5382060795721 +48.2896786741381
10880358 5163 165 2.424 0.020 -0.22 0.30 1.17 0.19 10.97 0.72 1.19 0.20 11.10 0.73 1.18 0.19 11.02  0.72 2 298.6194035806676 +48.2281022718628
10880532 4784 146 2.224 0.009 -0.24 0.30 1.38 0.11 15.01 0.48 1.24 0.10 14.22 0.44 1.38 0.11 15.02  0.48 0 298.6732700318154 +48.2393077452769
10880639 5029 146 3.250 0.010 -0.65 0.30 0.88 0.06  3.68 0.09 0.84 0.06  3.61 0.09 0.89 0.06  3.71  0.09 1 298.7037047841187 +48.2577364455683
10880958 4679 100 2.429 0.010 -0.07 0.15 1.11 0.09 10.63 0.31 0.99 0.08 10.08 0.29 1.11 0.09 10.62  0.31 2 298.8013386779572 +48.2928901988424
10881104 5235 164 2.441 0.012 -0.97 0.30 0.72 0.11  8.43 0.58 0.74 0.11  8.55 0.59 0.78 0.12  8.81  0.61 2 298.8439666295154 +48.2587571859908
10881149 4506  80 2.432 0.010 -0.17 0.15 1.24 0.09 11.22 0.30 1.08 0.08 10.45 0.27 1.22 0.09 11.10  0.29 1 298.8579810052376 +48.2902114251499
10881317 4798  80 2.781 0.006  0.09 0.15 1.61 0.08  8.55 0.16 1.50 0.07  8.27 0.15 1.63 0.08  8.62  0.16 1 298.9143309106034 +48.2679697248349
10881810 4983 100 3.081 0.007 -0.06 0.15 1.46 0.07  5.76 0.11 1.41 0.07  5.67 0.10 1.48 0.07  5.80  0.11 1 299.0731995023978 +48.2062624288013
10902770 4837  80 2.212 0.014 -0.61 0.15 0.68 0.09 10.71 0.60 0.60 0.08 10.08 0.55 0.68 0.09 10.74  0.60 2 281.4583290614660 +48.3578067018334
10903016 4654  80 2.310 0.008 -0.38 0.15 1.28 0.08 13.12 0.30 1.11 0.07 12.22 0.27 1.25 0.08 12.95  0.29 1 281.6078164541976 +48.3313283588219
10903247 4739  80 2.544 0.007 -0.21 0.15 1.35 0.07 10.26 0.20 1.20 0.06  9.70 0.19 1.34 0.07 10.25  0.20 1 281.7835869605043 +48.3715828035018
10903291 4945  80 2.451 0.010 -0.28 0.15 1.31 0.10 11.27 0.33 1.23 0.09 10.93 0.32 1.33 0.10 11.37  0.33 2 281.8148875297263 +48.3456660157036
10903871 5097 150 2.918 0.008 -0.26 0.30 1.43 0.09  6.88 0.15 1.40 0.08  6.82 0.15 1.46 0.09  6.96  0.15 1 282.2569299708554 +48.3615591741505
10903874 4961  80 3.179 0.006 -0.08 0.15 1.27 0.06  4.80 0.09 1.24 0.06  4.73 0.09 1.28 0.06  4.83  0.09 1 282.2593892464922 +48.3720632856872
10904456 5044 154 2.384 0.011 -0.03 0.30 1.18 0.15 11.56 0.65 1.20 0.15 11.65 0.65 1.19 0.15 11.60  0.65 2 282.6508038622750 +48.3006464860039
10904520 4868  80 2.923 0.006 -0.09 0.15 1.39 0.07  6.74 0.12 1.30 0.06  6.53 0.12 1.41 0.07  6.79  0.12 1 282.7032278171212 +48.3115080087346
10904695 5175 156 2.420 0.012 -0.38 0.30 1.06 0.11 10.49 0.44 1.08 0.11 10.60 0.45 1.07 0.11 10.57  0.44 2 282.8467517402054 +48.3344488252633
10905043 4914 144 2.523 0.013 -0.06 0.30 1.32 0.12 10.42 0.32 1.27 0.11 10.20 0.32 1.34 0.12 10.49  0.33 1 283.1212380692471 +48.3781087147661
10905139 4805  80 2.520 0.007 -0.28 0.15 1.31 0.07 10.42 0.21 1.18 0.07  9.89 0.20 1.31 0.07 10.43  0.21 1 283.1872234938304 +48.3819157193857
10905697 5034 152 3.121 0.008  0.05 0.30 1.40 0.08  5.38 0.12 1.40 0.08  5.38 0.12 1.41 0.09  5.42  0.12 1 283.5965655666283 +48.3179554957025
10905767 5129 145 3.045 0.008 -0.36 0.30 1.27 0.07  5.59 0.12 1.25 0.07  5.56 0.12 1.29 0.08  5.65  0.12 1 283.6424391904691 +48.3671553685414
10907196 4969 100 2.562 0.009 -0.08 0.15 1.72 0.13 11.37 0.32 1.64 0.12 11.11 0.32 1.76 0.13 11.50  0.33 2 284.6576243196541 +48.3803694736302
10907199 5215 156 3.176 0.009 -0.08 0.30 1.21 0.08  4.71 0.12 1.26 0.09  4.81 0.12 1.22 0.08  4.73  0.12 1 284.6600321505160 +48.3299749441707
10907410 4701 100 2.794 0.008  0.53 0.15 1.55 0.09  8.25 0.17 1.45 0.08  8.00 0.16 1.56 0.09  8.30  0.17 1 284.7995924768308 +48.3805340068276
10907546 5091 152 2.365 0.011 -0.18 0.30 1.02 0.24 10.99 1.28 1.05 0.25 11.14 1.30 1.02 0.25 11.01  1.28 2 284.8856581677284 +48.3689395231264
10907932 5086 155 2.404 0.018  0.02 0.30 1.24 0.17 11.61 0.60 1.27 0.18 11.74 0.61 1.25 0.18 11.65  0.60 2 285.1347936939495 +48.3457259057340
10907945 5300 151 3.310 0.009 -0.48 0.30 1.08 0.08  3.81 0.12 1.12 0.09  3.88 0.12 1.10 0.09  3.85  0.12 1 285.1474987490583 +48.3372853090028
10908322 5074 100 2.400 0.012 -0.52 0.15 1.46 0.14 12.62 0.46 1.39 0.13 12.30 0.45 1.50 0.15 12.81  0.47 2 285.3901021566770 +48.3092883215589
10908442 4835  80 2.498 0.010 -0.08 0.15 1.43 0.10 11.15 0.29 1.33 0.10 10.75 0.28 1.45 0.10 11.23  0.30 2 285.4710256574120 +48.3542066235408
10909336 5061 158 2.420 0.040  0.21 0.30 0.97 0.51 10.04 2.44 1.02 0.54 10.30 2.53 0.97 0.51 10.05  2.44 2 286.0158197209179 +48.3780239344775
10909816 5209 159 3.104 0.008  0.04 0.30 1.60 0.10  5.89 0.13 1.65 0.10  5.97 0.13 1.63 0.10  5.93  0.13 1 286.3016327564148 +48.3375769650986
10909977 5281 158 2.455 0.012 -0.60 0.30 1.42 0.23 11.69 0.86 1.44 0.23 11.74 0.86 1.47 0.23 11.87  0.87 2 286.4178227394685 +48.3699560118940
10910035 4582 160 2.391 0.011  0.28 0.30 0.78 0.17  9.34 0.95 0.74 0.15  9.09 0.91 0.79 0.17  9.39  0.96 2 286.4524312799720 +48.3097727042558
10910197 4799  80 2.948 0.006 -0.07 0.15 1.20 0.06  6.10 0.11 1.11 0.05  5.87 0.10 1.21 0.06  6.11  0.11 1 286.5584663084583 +48.3259453509823
10910523 4636 100 2.293 0.011 -0.07 0.15 1.26 0.10 13.26 0.39 1.12 0.09 12.49 0.36 1.25 0.10 13.22  0.39 1 286.7798453481463 +48.3552368450219
10910541 4977 100 2.387 0.011 -0.41 0.15 1.00 0.10 10.62 0.41 0.96 0.09 10.39 0.40 1.02 0.10 10.71  0.41 2 286.7968791386727 +48.3194259817352
10910674 4731 100 2.465 0.009 -0.04 0.15 1.48 0.10 11.80 0.28 1.35 0.09 11.25 0.27 1.49 0.10 11.84  0.29 1 286.8733531494669 +48.3971272311583
10910802 4650 100 2.230 0.014  0.20 0.15 0.87 0.10 11.88 0.52 0.83 0.09 11.59 0.50 0.88 0.10 11.90  0.52 2 286.9504842682985 +48.3450621608129
10910839 4821  80 2.546 0.011 -0.08 0.15 1.88 0.15 12.10 0.36 1.74 0.14 11.64 0.35 1.91 0.16 12.20  0.37 2 286.9749143998314 +48.3829508956097
10910889 4840 100 2.564 0.009  0.42 0.15 1.69 0.12 11.23 0.30 1.65 0.12 11.11 0.29 1.72 0.12 11.34  0.30 2 287.0041000034583 +48.3165992524581
10911000 5239 162 2.396 0.014 -0.05 0.30 1.00 0.12 10.49 0.47 1.06 0.12 10.80 0.49 1.00 0.12 10.51  0.47 2 287.0643622988313 +48.3752303523301
10913761 5054 159 2.427 0.018  0.15 0.30 1.30 0.18 11.56 0.60 1.33 0.18 11.67 0.60 1.32 0.18 11.62  0.60 2 288.6775098715493 +48.3604322162823
10913869 5120 156 2.404 0.015 -0.17 0.30 1.17 0.16 11.25 0.61 1.19 0.16 11.35 0.61 1.18 0.16 11.29  0.61 2 288.7313053072409 +48.3349143971911
10914063 5275 160 2.490 0.012 -0.52 0.30 1.40 0.13 11.15 0.40 1.42 0.14 11.22 0.40 1.44 0.14 11.31  0.41 2 288.8269634639750 +48.3161518818683
10914450 5027 151 2.702 0.010 -0.19 0.30 1.25 0.09  8.26 0.21 1.23 0.09  8.18 0.21 1.27 0.09  8.31  0.21 1 289.0176256576363 +48.3771495367167
10914565 5122 150 2.367 0.010 -0.20 0.30 0.73 0.07  9.25 0.38 0.78 0.08  9.55 0.39 0.74 0.07  9.34  0.38 2 289.0818330803356 +48.3111790913059
10916533 5045 156 2.764 0.010 -0.38 0.30 1.51 0.11  8.45 0.22 1.44 0.11  8.24 0.21 1.55 0.11  8.57  0.22 1 289.9837295040591 +48.3717320069225
10916563 4866  80 2.785 0.007 -0.23 0.15 1.41 0.07  7.97 0.15 1.30 0.07  7.65 0.15 1.43 0.07  8.03  0.15 1 290.0083576330637 +48.3732440530528
10916701 4880 146 2.433 0.008 -0.04 0.30 1.41 0.09 11.96 0.28 1.34 0.09 11.64 0.27 1.43 0.09 12.05  0.29 1 290.0782854989725 +48.3632124576369
10916867 4776  80 2.415 0.010 -0.08 0.15 1.04 0.08 10.45 0.28 0.96 0.07 10.09 0.27 1.04 0.08 10.47  0.28 2 290.1644991484922 +48.3683064078642
10916930 5096 154 2.527 0.009 -0.04 0.30 1.58 0.11 11.34 0.29 1.57 0.11 11.32 0.29 1.60 0.11 11.43  0.29 2 290.1991399715863 +48.3664009828360
10916980 5161 152 2.508 0.011 -0.22 0.30 1.47 0.13 11.19 0.37 1.48 0.13 11.21 0.37 1.51 0.13 11.33  0.38 2 290.2208000417699 +48.3951963181625
10917124 4976 174 3.212 0.010 -0.32 0.30 1.12 0.08  4.35 0.11 1.08 0.07  4.26 0.11 1.14 0.08  4.38  0.11 1 290.292080 +48.302937
10917207 5337 161 2.618 0.017 -0.53 0.30 1.96 0.32 11.37 0.78 2.02 0.33 11.57 0.80 2.05 0.34 11.64  0.80 2 290.3381072205580 +48.3305997667111
10917932 5239 158 2.406 0.016 -0.36 0.30 0.97 0.14 10.21 0.63 1.01 0.15 10.42 0.65 0.98 0.15 10.27  0.64 2 290.7377225573163 +48.3380385230336
10918449 5036 143 2.510 0.015 -0.16 0.30 3.06 0.36 16.11 0.69 3.17 0.37 16.40 0.70 3.33 0.39 16.80  0.72 2 290.9850813359130 +48.3753767763794
10918731 4845 100 2.570 0.009  0.30 0.15 1.81 0.12 11.55 0.29 1.73 0.12 11.31 0.28 1.84 0.12 11.65  0.29 2 291.1396419386325 +48.3924202808111
10918894 5228 173 2.893 0.010 -1.50 0.30 1.07 0.08  6.13 0.16 1.04 0.07  6.05 0.15 1.11 0.08  6.25  0.16 1 291.2341126309507 +48.3254468251746
10919121 5022 175 2.348 0.034  0.07 0.30 1.04 0.26 11.29 1.01 1.07 0.27 11.47 1.03 1.04 0.26 11.31  1.01 2 291.3640323099921 +48.3125584049644
10919239 5000 145 3.139 0.008 -0.22 0.30 1.17 0.07  4.83 0.10 1.14 0.07  4.77 0.10 1.18 0.07  4.85  0.10 1 291.4382744361062 +48.3732795599306
10919392 5187 157 3.164 0.010 -0.10 0.30 1.49 0.10  5.30 0.13 1.52 0.11  5.35 0.13 1.52 0.11  5.35  0.13 1 291.5135678430842 +48.3629067425903
10920139 5038 154 2.456 0.010 -0.54 0.30 1.36 0.10 11.40 0.29 1.28 0.09 11.06 0.28 1.39 0.10 11.56  0.30 1 291.8786851977183 +48.3559853743019
10920268 5116 156 2.355 0.013 -0.47 0.30 1.13 0.29 11.69 1.48 1.11 0.29 11.60 1.46 1.15 0.30 11.81  1.50 2 291.9394056816408 +48.3423354756133
10920328 5243 162 3.134 0.009 -0.52 0.30 1.49 0.10  5.47 0.13 1.49 0.10  5.47 0.13 1.53 0.10  5.55  0.13 1 291.9623799283071 +48.3592989930733
10920437 5412 171 2.851 0.009 -1.10 0.30 1.43 0.09  7.44 0.17 1.47 0.09  7.54 0.17 1.50 0.10  7.62  0.17 1 292.0166847667162 +48.3921143296405
10920456 5299 161 3.020 0.008 -0.58 0.30 1.22 0.07  5.65 0.12 1.25 0.08  5.71 0.13 1.25 0.08  5.73  0.13 1 292.0242668529833 +48.3122250285828
10920746 5060  80 3.308 0.008 -0.10 0.15 1.60 0.10  4.65 0.11 1.57 0.10  4.60 0.10 1.63 0.10  4.69  0.11 1 292.1816915039911 +48.3755995351133
10920861 5047 155 3.034 0.008 -0.88 0.30 1.10 0.07  5.29 0.12 1.03 0.06  5.10 0.11 1.12 0.07  5.33  0.12 1 292.2294126818024 +48.3726720932450
10920888 5142 156 2.394 0.015 -0.30 0.30 1.00 0.12 10.53 0.49 1.03 0.12 10.67 0.49 1.01 0.12 10.58  0.49 2 292.2453466387311 +48.3794718416873
10921183 4966 150 2.393 0.014 -0.01 0.30 1.03 0.11 10.68 0.40 1.05 0.11 10.76 0.41 1.03 0.11 10.71  0.41 2 292.3831989859545 +48.3780013011502
10921258 4583 100 2.293 0.012  0.29 0.15 1.48 0.13 14.37 0.46 1.34 0.12 13.70 0.43 1.49 0.13 14.43  0.46 1 292.4157405027361 +48.3553762539160
10921270 4418  80 2.075 0.014 -0.41 0.15 1.00 0.10 15.15 0.56 0.84 0.09 13.88 0.51 0.95 0.10 14.83  0.55 1 292.4225006894085 +48.3796840612281
10922068 5147 157 2.423 0.011 -0.40 0.30 1.20 0.09 11.14 0.32 1.20 0.09 11.13 0.32 1.22 0.10 11.25  0.32 2 292.7829607298240 +48.3106359525309
10922092 4571  80 2.531 0.008  0.05 0.15 1.26 0.07 10.09 0.21 1.12 0.06  9.51 0.20 1.26 0.07 10.08  0.21 1 292.7958518051522 +48.3292217814690
10922137 5215 159 2.409 0.011 -0.56 0.30 1.14 0.13 11.04 0.53 1.15 0.13 11.08 0.53 1.17 0.13 11.17  0.54 2 292.8147262842867 +48.3146329218153
10922167 4861  80 2.849 0.008 -0.00 0.15 2.07 0.13  8.97 0.20 1.96 0.12  8.72 0.19 2.12 0.13  9.07  0.20 1 292.8292183207823 +48.3687314152671
10922608 4711  80 2.592 0.007 -0.19 0.15 1.31 0.07  9.58 0.20 1.16 0.07  9.03 0.19 1.30 0.07  9.55  0.20 1 293.0462233555336 +48.3960608206824
10922622 5169 170 2.464 0.014  0.15 0.30 1.25 0.13 10.88 0.42 1.31 0.14 11.11 0.43 1.26 0.14 10.92  0.42 2 293.0545203257022 +48.3430381386953
10922821 4831 100 2.436 0.012  0.30 0.15 1.28 0.11 11.34 0.36 1.25 0.11 11.19 0.35 1.28 0.11 11.35  0.36 2 293.1457478635213 +48.3605739763983
10922840 4778 100 2.783 0.007  0.50 0.15 1.48 0.08  8.17 0.17 1.43 0.08  8.05 0.16 1.51 0.08  8.25  0.17 1 293.1512513516117 +48.3322547013451
10923654 5069 159 2.368 0.011 -0.12 0.30 1.13 0.12 11.51 0.50 1.15 0.12 11.60 0.50 1.13 0.12 11.54  0.50 2 293.5110272717892 +48.3838655171422
10923846 4559  80 2.444 0.008 -0.28 0.15 1.19 0.07 10.85 0.24 1.03 0.06 10.09 0.22 1.16 0.07 10.71  0.24 2 293.5897798285834 +48.3547020264333
10923991 5115 157 2.485 0.011 -0.12 0.30 1.45 0.12 11.40 0.35 1.45 0.12 11.40 0.35 1.47 0.12 11.50  0.35 2 293.6545280825741 +48.3611647469280
10924021 4833 141 2.639 0.009 -0.15 0.30 1.26 0.08  8.91 0.21 1.16 0.08  8.57 0.20 1.27 0.08  8.94  0.21 1 293.6718435722596 +48.3897158497769
10924096 5072 149 3.223 0.008 -0.07 0.30 1.40 0.09  4.80 0.10 1.40 0.08  4.79 0.10 1.43 0.09  4.84  0.11 1 293.7051985769933 +48.3770766914122
10924215 5113 156 2.700 0.010 -0.13 0.30 1.70 0.12  9.64 0.24 1.68 0.12  9.58 0.24 1.74 0.13  9.76  0.25 1 293.7557109558596 +48.3996514872636
10924652 4762  80 3.088 0.006 -0.01 0.15 1.18 0.05  5.14 0.09 1.09 0.05  4.95 0.09 1.19 0.06  5.16  0.09 1 293.9307462569188 +48.3879244257075
10927457 5165 154 2.717 0.009 -0.34 0.30 1.48 0.09  8.83 0.20 1.47 0.09  8.79 0.20 1.52 0.10  8.95  0.20 1 295.0633347452695 +48.3345094619653
10927597 4679 135 2.676 0.009  0.52 0.30 1.43 0.09  9.11 0.21 1.36 0.09  8.88 0.20 1.45 0.09  9.17  0.21 1 295.1157989967004 +48.3675974303874
10927848 4840 147 2.045 0.012 -0.24 0.30 1.26 0.12 17.65 0.61 1.16 0.11 16.90 0.58 1.27 0.12 17.72  0.61 0 295.2114830783075 +48.3461102045969
10928042 4952 147 2.481 0.012 -0.06 0.30 1.50 0.13 11.67 0.37 1.44 0.13 11.42 0.36 1.52 0.14 11.76  0.37 2 295.2937927686764 +48.3713663007681
10931578 4804  80 3.232 0.007  0.42 0.15 1.26 0.07  4.50 0.09 1.21 0.06  4.41 0.08 1.25 0.07  4.48  0.09 1 296.6045948265862 +48.3520105184856
10931902 4637  80 2.432 0.011  0.30 0.15 1.34 0.13 11.65 0.45 1.23 0.12 11.19 0.43 1.34 0.13 11.68  0.45 2 296.7247613229701 +48.3239904227815
10932078 4827 148 2.397 0.012  0.21 0.30 1.15 0.16 11.23 0.69 1.12 0.15 11.11 0.68 1.15 0.16 11.25  0.69 2 296.7797771388983 +48.3069204108822
10932177 4791 143 2.575 0.009 -0.09 0.30 1.49 0.10 10.42 0.25 1.36 0.09  9.96 0.24 1.50 0.10 10.47  0.25 1 296.818390 +48.325829
10932270 4905  80 2.930 0.006  0.07 0.15 1.89 0.09  7.79 0.14 1.80 0.09  7.61 0.14 1.93 0.10  7.89  0.14 1 296.8496613606135 +48.3232951595971
10932294 4729  80 2.318 0.009 -0.31 0.15 1.53 0.11 14.22 0.37 1.36 0.10 13.38 0.34 1.51 0.11 14.14  0.37 2 296.8594471297096 +48.3294748783728
10932323 4774 145 2.234 0.016 -0.12 0.30 1.19 0.15 13.81 0.62 1.09 0.13 13.20 0.59 1.20 0.15 13.83  0.63 2 296.8689410390621 +48.3193833515542
10932336 4688  80 2.624 0.007  0.11 0.15 1.45 0.08  9.72 0.19 1.32 0.07  9.29 0.18 1.46 0.08  9.77  0.19 1 296.8718546658535 +48.3428137734440
10932891 4918  80 2.457 0.015 -0.30 0.15 1.21 0.13 10.77 0.44 1.13 0.12 10.41 0.42 1.23 0.14 10.83  0.44 2 297.0526556553648 +48.3965205381106
10933112 5095 163 2.417 0.012  0.09 0.30 1.05 0.12 10.52 0.47 1.10 0.12 10.75 0.49 1.06 0.12 10.54  0.47 2 297.1284412755413 +48.3776636814214
10933234 5012 149 3.005 0.008 -0.01 0.30 1.34 0.08  6.04 0.13 1.33 0.08  6.01 0.13 1.36 0.08  6.08  0.13 1 297.1710086214546 +48.3149366188514
10933244 4758  80 2.255 0.021 -0.38 0.15 0.84 0.13 11.32 0.63 0.74 0.12 10.65 0.59 0.83 0.13 11.26  0.63 2 297.1737725923179 +48.3519850784206
10933309 5185 160 2.531 0.011 -0.49 0.30 1.55 0.13 11.18 0.34 1.52 0.13 11.07 0.34 1.60 0.13 11.35  0.34 2 297.1951297002084 +48.3402045295278
10933384 4463 100 1.904 0.019  0.13 0.15 1.47 0.33 22.45 2.24 1.31 0.28 21.13 2.06 1.46 0.32 22.37  2.23 1 297.2254256999984 +48.3821696488835
10933670 5239 160 2.416 0.012 -0.54 0.30 0.98 0.13 10.17 0.61 1.01 0.14 10.32 0.62 1.00 0.14 10.26  0.62 2 297.3099763515908 +48.3869173903342
10933748 4879  80 2.501 0.020 -0.28 0.15 1.68 0.24 12.04 0.59 1.54 0.22 11.55 0.56 1.71 0.24 12.15  0.59 2 297.3398464507312 +48.3914986852905
10933775 4365  80 1.956 0.012 -0.39 0.15 0.87 0.08 16.21 0.54 0.71 0.06 14.71 0.48 0.84 0.08 15.94  0.53 1 297.3471507736517 +48.3203640585909
10933921 5096 167 2.575 0.009 -0.02 0.30 1.60 0.11 10.80 0.26 1.60 0.11 10.79 0.26 1.62 0.11 10.88  0.26 1 297.4013911199079 +48.3198830918478
10934164 5315 166 3.088 0.009 -0.18 0.30 1.80 0.12  6.35 0.15 1.87 0.12  6.47 0.15 1.85 0.12  6.43  0.15 1 297.4779817579375 +48.3833886270983
10934536 4872 154 2.633 0.010  0.05 0.30 1.39 0.10  9.41 0.24 1.32 0.10  9.19 0.23 1.40 0.10  9.47  0.24 1 297.6197392654083 +48.3752118971692
10934588 4729  80 2.414 0.011  0.06 0.15 1.04 0.09 10.51 0.36 0.98 0.09 10.17 0.34 1.05 0.09 10.53  0.36 2 297.6390793372423 +48.3902427510041
10934758 5009 100 2.587 0.008  0.10 0.15 1.67 0.14 10.88 0.38 1.64 0.14 10.78 0.38 1.70 0.14 10.98  0.39 2 297.7085189364795 +48.3966042975310
10934765 5019 148 2.419 0.011 -0.69 0.30 1.10 0.18 10.75 0.85 1.03 0.17 10.38 0.81 1.13 0.19 10.87  0.86 2 297.7112659998903 +48.3277858635680
10934799 5025 175 3.090 0.011 -0.22 0.30 1.16 0.09  5.09 0.14 1.14 0.09  5.05 0.14 1.17 0.09  5.11  0.14 1 297.7235141251489 +48.3680991114637
10934929 4674  80 2.421 0.009  0.16 0.15 1.14 0.08 10.86 0.32 1.05 0.08 10.45 0.30 1.14 0.08 10.88  0.32 2 297.7763073759711 +48.3136312556852
10935050 5151 160 2.477 0.012 -0.11 0.30 1.35 0.14 11.09 0.49 1.37 0.15 11.19 0.49 1.37 0.15 11.18  0.49 2 297.8245601915373 +48.3812220704329
10935094 4888 145 2.840 0.008 -0.06 0.30 1.29 0.08  7.16 0.16 1.23 0.07  6.98 0.15 1.31 0.08  7.20  0.16 1 297.8367755590725 +48.3799744717536
10935265 5129 164 2.402 0.011 -0.09 0.30 1.18 0.11 11.33 0.43 1.21 0.12 11.48 0.44 1.19 0.11 11.37  0.43 2 297.8995722240569 +48.3440404307220
10935377 4892  80 3.099 0.006 -0.27 0.15 1.19 0.06  5.09 0.09 1.10 0.05  4.91 0.09 1.20 0.06  5.11  0.09 1 297.9433604110269 +48.3596994389689
10935437 5156 100 2.613 0.012  0.24 0.15 1.95 0.18 11.41 0.41 2.01 0.19 11.59 0.42 1.98 0.19 11.52  0.41 2 297.9666874952354 +48.3125849513553
10935672 4988 164 2.719 0.010  0.20 0.30 1.72 0.12  9.48 0.24 1.69 0.12  9.41 0.24 1.76 0.12  9.59  0.24 2 298.0530933255766 +48.3802384015942
10935811 4954 167 2.442 0.011  0.27 0.30 1.27 0.12 11.20 0.39 1.28 0.12 11.26 0.39 1.27 0.12 11.23  0.39 2 298.1161233889692 +48.3905000885135
10935853 5107 100 2.740 0.045 -0.05 0.15 2.62 0.85 11.44 1.30 2.71 0.88 11.64 1.33 2.76 0.89 11.73  1.34 2 298.1321735112214 +48.3112736101061
10936114 4311 150 1.706 0.022 -0.16 0.30 0.74 0.16 19.97 1.82 0.60 0.13 18.00 1.59 0.73 0.16 19.89  1.81 0 298.2340628322725 +48.3256641816467
10936635 5071 162 2.462 0.013 -0.20 0.30 1.55 0.16 12.09 0.49 1.50 0.16 11.92 0.48 1.58 0.17 12.24  0.50 2 298.4115784399863 +48.3712794287403
10936814 4925 100 2.487 0.011 -0.04 0.15 1.45 0.14 11.39 0.45 1.39 0.13 11.14 0.44 1.47 0.14 11.47  0.46 2 298.4731724769983 +48.3980134940361
10936833 4805  80 2.472 0.010 -0.02 0.15 1.34 0.14 11.12 0.52 1.25 0.13 10.74 0.50 1.36 0.15 11.19  0.52 2 298.4817180580747 +48.3931903121088
10936984 4595  80 2.559 0.012  0.13 0.15 1.32 0.11  9.98 0.29 1.18 0.10  9.46 0.28 1.32 0.11 10.00  0.29 1 298.5335853407140 +48.3814313155010
10937071 4829  80 3.162 0.007  0.20 0.15 1.30 0.07  4.96 0.09 1.26 0.06  4.87 0.09 1.32 0.07  4.99  0.09 1 298.5669848064715 +48.3170728120797
10937597 4902  80 2.462 0.010 -0.12 0.15 1.31 0.13 11.14 0.44 1.24 0.12 10.84 0.43 1.33 0.13 11.22  0.45 2 298.7396727638186 +48.3782780418676
10937672 4531  80 2.327 0.016  0.39 0.15 1.57 0.19 14.25 0.62 1.42 0.17 13.56 0.58 1.58 0.19 14.31  0.62 1 298.7634105462892 +48.3114571706103
10937701 4962 148 2.414 0.012 -0.18 0.30 1.07 0.11 10.63 0.41 1.05 0.10 10.52 0.41 1.08 0.11 10.66  0.41 2 298.7710972515648 +48.3762556256880
10937722 4706  80 2.532 0.009 -0.30 0.15 1.41 0.13 10.68 0.42 1.25 0.11 10.02 0.39 1.39 0.13 10.60  0.42 1 298.7759987963942 +48.3577932074222
10937855 4900 152 2.435 0.010 -0.06 0.30 1.29 0.13 11.42 0.49 1.24 0.12 11.16 0.47 1.31 0.13 11.49  0.49 2 298.8186871605751 +48.3159474099035
10937872 4862 148 2.412 0.009 -0.01 0.30 1.16 0.12 11.10 0.50 1.11 0.11 10.86 0.49 1.17 0.12 11.13  0.51 2 298.8253169512230 +48.3782486484896
10937936 4845  80 2.516 0.012  0.07 0.15 1.35 0.12 10.62 0.35 1.29 0.11 10.36 0.34 1.37 0.12 10.68  0.36 2 298.8467505075103 +48.3418533943263
10937954 4783  80 2.370 0.007 -0.06 0.15 1.12 0.16 11.42 0.79 1.04 0.15 11.01 0.75 1.12 0.16 11.44  0.79 2 298.8545316375891 +48.3832549251107
